Hydrant,Latitude,Longitude,Capacity_L_min,Available,Capacity_source,Public_hydrant_object_id,Model_type,Location_source
H0073,55.672079,12.590972,1600,True,simulated_from_model_type,73,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0074,55.677644,12.605392,2000,True,simulated_from_model_type,74,"KV 1916, 110 mm",6100_Brandhaner__Koebenhavn
H0075,55.663839,12.585601,800,True,simulated_from_model_type,75,"unset, unset",6100_Brandhaner__Koebenhavn
H0076,55.628839,12.581606,1600,True,simulated_from_model_type,76,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0077,55.641592,12.610996,2000,True,simulated_from_model_type,77,"KV 1916, 110 mm",6100_Brandhaner__Koebenhavn
H0078,55.647089,12.561659,2000,True,simulated_from_model_type,78,"A-60, 110 mm",6100_Brandhaner__Koebenhavn
H0079,55.646002,12.561092,2000,True,simulated_from_model_type,79,"A-60, 110 mm",6100_Brandhaner__Koebenhavn
H0080,55.644851,12.560639,2000,True,simulated_from_model_type,80,"A-60, 110 mm",6100_Brandhaner__Koebenhavn
H0081,55.664576,12.603193,1600,True,simulated_from_model_type,81,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0082,55.666664,12.583953,2000,True,simulated_from_model_type,82,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0083,55.667359,12.582312,2000,True,simulated_from_model_type,83,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0084,55.666056,12.585467,2000,True,simulated_from_model_type,84,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0085,55.662344,12.572761,2000,True,simulated_from_model_type,85,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0086,55.661005,12.569725,1600,True,simulated_from_model_type,86,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0087,55.6603,12.571392,1600,True,simulated_from_model_type,87,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0088,55.660148,12.589303,2000,True,simulated_from_model_type,88,"KV, 110 mm",6100_Brandhaner__Koebenhavn
H0089,55.664467,12.573839,1600,True,simulated_from_model_type,89,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0090,55.641764,12.58617,800,True,simulated_from_model_type,90,"unset, unset",6100_Brandhaner__Koebenhavn
H0091,55.64445,12.587084,2000,True,simulated_from_model_type,91,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0092,55.64527,12.587059,2000,True,simulated_from_model_type,92,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0093,55.626377,12.58087,2000,True,simulated_from_model_type,93,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0094,55.625931,12.578633,2000,True,simulated_from_model_type,94,"unset, 110 mm",6100_Brandhaner__Koebenhavn
H0095,55.621615,12.586208,2000,True,simulated_from_model_type,95,"A-60, 110 mm",6100_Brandhaner__Koebenhavn
H0096,55.626876,12.586955,2000,True,simulated_from_model_type,96,"KVF, 110 mm",6100_Brandhaner__Koebenhavn
H0097,55.623367,12.586456,2000,True,simulated_from_model_type,97,"A-60, 110 mm",6100_Brandhaner__Koebenhavn
H0098,55.625133,12.586708,2000,True,simulated_from_model_type,98,"KVF, 110 mm",6100_Brandhaner__Koebenhavn
H0099,55.620872,12.527457,1600,True,simulated_from_model_type,99,"KV 1916, 100 mm",6100_Brandhaner__Koebenhavn
H0100,55.658475,12.56977,1600,True,simulated_from_model_type,100,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0101,55.647706,12.637114,1600,True,simulated_from_model_type,101,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
H0102,55.64847,12.636734,1600,True,simulated_from_model_type,102,"A-60, 100 mm",6100_Brandhaner__Koebenhavn
